index,electronic,mess,mess_converted,ratio_el_me,time
1,11.24303,682.8,11.380,0.9880,0.533
2,11.172686,682.8,11.380,0.9818,1.067
3,11.103216,674.5,11.242,0.9877,1.600
4,11.032658,674.5,11.242,0.9814,2.133
5,10.961066,666.2,11.103,0.9872,2.667
6,10.8904,662.3,11.038,0.9866,3.200
7,10.83189,658.1,10.968,0.9876,3.733
8,10.759168,650.3,10.838,0.9927,4.267
9,10.687415,650.3,10.838,0.9861,4.800
10,10.613008,642.4,10.707,0.9913,5.333
11,10.552086,642.4,10.707,0.9856,5.867
12,10.479545,634.3,10.572,0.9913,6.400
13,10.416667,634.3,10.572,0.9853,6.933
14,10.342546,626.2,10.437,0.9910,7.467
15,10.281297,626.2,10.437,0.9851,8.000
16,10.204082,618,10.300,0.9907,8.533
17,10.142811,618,10.300,0.9847,9.067
18,10.066033,609.7,10.162,0.9906,9.600
19,10.0016,609.7,10.162,0.9842,10.133
20,9.936407,601.3,10.022,0.9915,10.667
21,9.858045,601.3,10.022,0.9837,11.200
22,9.794703,593.2,9.887,0.9907,11.733
23,9.72914,593.2,9.887,0.9841,12.267
24,9.662956,585.4,9.757,0.9904,12.800
25,9.596192,585.4,9.757,0.9836,13.333
26,9.528892,577.4,9.623,0.9902,13.867
27,9.462528,577.4,9.623,0.9833,14.400
28,9.394258,569.4,9.490,0.9899,14.933
29,9.325574,569.4,9.490,0.9827,15.467
30,9.257888,561.3,9.355,0.9896,16.000
31,9.188474,561.3,9.355,0.9822,16.533
32,9.118763,553,9.217,0.9894,17.067
33,9.048791,553,9.217,0.9818,17.600
34,8.978595,544.7,9.078,0.9890,18.133
35,8.90821,544.7,9.078,0.9813,18.667
36,8.851438,536.7,8.945,0.9895,19.200
37,8.779323,536.7,8.945,0.9815,19.733
38,8.707161,529,8.817,0.9876,20.267
39,8.648126,529,8.817,0.9809,20.800
40,8.574565,521.1,8.685,0.9873,21.333
41,8.514986,521.1,8.685,0.9804,21.867
42,8.441383,513.2,8.553,0.9869,22.400
43,8.381387,513.2,8.553,0.9799,22.933
44,8.306751,505.2,8.420,0.9866,23.467
45,8.245382,505.2,8.420,0.9793,24.000
46,8.183842,497.1,8.285,0.9878,24.533
47,8.107407,497.1,8.285,0.9786,25.067
48,8.044794,488.9,8.148,0.9873,25.600
49,7.984159,488.9,8.148,0.9799,26.133
50,7.904388,480.5,8.008,0.9870,26.667
51,7.841907,480.5,8.008,0.9792,27.200
52,7.777501,472.5,7.875,0.9876,27.733
53,7.713192,472.5,7.875,0.9795,28.267
54,7.648066,464.8,7.747,0.9873,28.800
55,7.584031,464.8,7.747,0.9790,29.333
56,7.518344,457.1,7.618,0.9869,29.867
57,7.452009,457.1,7.618,0.9782,30.400
58,7.385088,449.2,7.487,0.9864,30.933
59,7.318501,449.2,7.487,0.9775,31.467
60,7.251421,441.3,7.355,0.9859,32.000
61,7.183908,441.3,7.355,0.9767,32.533
62,7.115209,433.2,7.220,0.9855,33.067
63,7.062944,433.2,7.220,0.9782,33.600
64,6.994181,425,7.083,0.9874,34.133
65,6.923673,425,7.083,0.9775,34.667
66,6.853821,417.1,6.952,0.9859,35.200
67,6.80087,417.1,6.952,0.9783,35.733
68,6.729113,409.8,6.830,0.9852,36.267
69,6.675211,409.8,6.830,0.9773,36.800
70,6.603275,402.3,6.705,0.9848,37.333
71,6.548617,402.3,6.705,0.9767,37.867
72,6.474672,394.7,6.578,0.9842,38.400
73,6.419474,394.7,6.578,0.9759,38.933
74,6.344534,387,6.450,0.9836,39.467
75,6.288992,387,6.450,0.9750,40.000
76,6.231928,379.1,6.318,0.9863,40.533
77,6.15521,379.1,6.318,0.9742,41.067
78,6.098156,371.2,6.187,0.9857,41.600
79,6.039231,371.2,6.187,0.9762,42.133
80,5.982007,363.1,6.052,0.9885,42.667
81,5.923048,363.1,6.052,0.9787,43.200
82,5.843853,355.5,5.925,0.9863,43.733
83,5.748359,355.5,5.925,0.9702,44.267
84,5.723968,348.4,5.807,0.9858,44.800
85,5.663284,348.4,5.807,0.9753,45.333
86,5.601864,341.2,5.687,0.9851,45.867
87,5.54078,341.2,5.687,0.9743,46.400
88,5.478611,333.9,5.565,0.9845,46.933
89,5.417353,333.9,5.565,0.9735,47.467
90,5.374957,326.4,5.440,0.9880,48.000
91,5.312367,326.4,5.440,0.9765,48.533
92,5.248132,318.9,5.315,0.9874,49.067
93,5.184141,318.9,5.315,0.9754,49.600
94,5.119174,318.9,5.315,0.9632,50.133
95,5.076348,311.2,5.187,0.9787,50.667
96,5.010823,311.2,5.187,0.9661,51.200
97,4.945403,303.5,5.058,0.9777,51.733
98,4.900807,303.5,5.058,0.9689,52.267
99,4.834842,296.2,4.937,0.9794,52.800
100,4.789639,296.2,4.937,0.9702,53.333
101,4.722327,289.6,4.827,0.9784,53.867
102,4.676394,289.6,4.827,0.9689,54.400
103,4.607785,282.8,4.713,0.9776,54.933
104,4.561045,282.8,4.713,0.9677,55.467
105,4.491879,276,4.600,0.9765,56.000
106,4.445235,276,4.600,0.9664,56.533
107,4.398001,269,4.483,0.9810,57.067
108,4.327355,269,4.483,0.9652,57.600
109,4.279356,261.9,4.365,0.9804,58.133
110,4.230978,261.9,4.365,0.9693,58.667
111,4.18284,254.8,4.247,0.9850,59.200
112,4.109409,254.8,4.247,0.9677,59.733
113,4.061343,247.5,4.125,0.9846,60.267
114,4.010266,247.5,4.125,0.9722,60.800
115,3.96071,247.5,4.125,0.9602,61.333
116,3.911383,240.1,4.002,0.9774,61.867
117,3.860646,240.1,4.002,0.9648,62.400
118,3.809814,233.4,3.890,0.9794,62.933
119,3.758268,233.4,3.890,0.9661,63.467
120,3.707438,227.3,3.788,0.9786,64.000
121,3.656039,227.3,3.788,0.9651,64.533
122,3.603136,221.1,3.685,0.9778,65.067
123,3.550935,221.1,3.685,0.9636,65.600
124,3.498265,214.9,3.582,0.9767,66.133
125,3.443906,214.9,3.582,0.9615,66.667
126,3.39121,208.5,3.475,0.9759,67.200
127,3.363832,208.5,3.475,0.9680,67.733
128,3.308454,202.1,3.368,0.9822,68.267
129,3.254869,202.1,3.368,0.9663,68.800
130,3.226973,195.5,3.258,0.9904,69.333
131,3.171945,195.5,3.258,0.9735,69.867
132,3.115187,195.5,3.258,0.9561,70.400
133,3.08764,188.9,3.148,0.9807,70.933
134,3.030744,188.9,3.148,0.9627,71.467
135,2.972651,182.1,3.035,0.9795,72.000
136,2.945334,182.1,3.035,0.9705,72.533
137,2.886569,176.1,2.935,0.9835,73.067
138,2.857796,176.1,2.935,0.9737,73.600
139,2.798424,170.8,2.847,0.9831,74.133
140,2.769776,170.8,2.847,0.9730,74.667
141,2.709733,165.6,2.760,0.9818,75.200
142,2.679643,165.6,2.760,0.9709,75.733
143,2.619008,160.1,2.668,0.9815,76.267
144,2.588527,160.1,2.668,0.9701,76.800
145,2.557178,160.1,2.668,0.9583,77.333
146,2.49491,154.7,2.578,0.9676,77.867
147,2.464025,154.7,2.578,0.9557,78.400
148,2.434274,149.1,2.485,0.9796,78.933
149,2.401814,149.1,2.485,0.9665,79.467
150,2.338022,143.5,2.392,0.9776,80.000
151,2.304487,143.5,2.392,0.9635,80.533
152,2.27372,143.5,2.392,0.9507,81.067
153,2.241831,137.6,2.293,0.9775,81.600
154,2.2077,137.6,2.293,0.9627,82.133
155,2.141951,131.8,2.197,0.9751,82.667
156,2.108423,131.8,2.197,0.9598,83.200
157,2.07586,131.8,2.197,0.9450,83.733
158,2.041216,125.8,2.097,0.9736,84.267
159,2.006421,125.8,2.097,0.9570,84.800
160,1.972355,125.8,2.097,0.9407,85.333
161,1.937083,119.7,1.995,0.9710,85.867
162,1.902877,119.7,1.995,0.9538,86.400
163,1.869243,114.5,1.908,0.9795,86.933
164,1.831931,114.5,1.908,0.9600,87.467
165,1.794997,110.3,1.838,0.9764,88.000
166,1.75982,110.3,1.838,0.9573,88.533
167,1.721953,105.8,1.763,0.9765,89.067
168,1.686955,105.8,1.763,0.9567,89.600
169,1.650078,101.6,1.693,0.9745,90.133
170,1.650078,101.6,1.693,0.9745,90.667
171,1.61534,97,1.617,0.9992,91.200
172,1.57399,97,1.617,0.9736,91.733
173,1.535664,97,1.617,0.9499,92.267
174,1.496791,92.5,1.542,0.9709,92.800
175,1.496791,92.5,1.542,0.9709,93.333
176,1.459155,87.9,1.465,0.9960,93.867
177,1.417266,87.9,1.465,0.9674,94.400
178,1.376834,87.9,1.465,0.9398,94.933
179,1.376834,83,1.383,0.9953,95.467
180,1.337099,83,1.383,0.9666,96.000
181,1.295203,83,1.383,0.9363,96.533
182,1.295203,78.1,1.302,0.9950,97.067
183,1.254642,78.1,1.302,0.9639,97.600
184,1.21331,78.1,1.302,0.9321,98.133
185,1.21331,73.2,1.220,0.9945,98.667
186,1.166807,73.2,1.220,0.9564,99.200
187,1.12166,73.2,1.220,0.9194,99.733
188,1.12166,67.8,1.130,0.9926,100.267
189,1.078349,67.8,1.130,0.9543,100.800
190,1.078349,67.8,1.130,0.9543,101.333
191,1.030639,67.8,1.130,0.9121,101.867
192,1.030639,62.3,1.038,0.9926,102.400
193,0.985898,62.3,1.038,0.9495,102.933
194,0.985898,58.3,0.972,1.0146,103.467
195,0.93706,58.3,0.972,0.9644,104.000
196,0.93706,55.2,0.920,1.0185,104.533
197,0.884367,55.2,0.920,0.9613,105.067
198,0.884367,52.1,0.868,1.0185,105.600
199,0.837173,52.1,0.868,0.9641,106.133
200,0.837173,49.3,0.822,1.0189,106.667
201,0.837173,49.3,0.822,1.0189,107.200
202,0.784525,49.3,0.822,0.9548,107.733
203,0.784525,46,0.767,1.0233,108.267
204,0.729586,46,0.767,0.9516,108.800
205,0.729586,42.7,0.712,1.0252,109.333
206,0.729586,42.7,0.712,1.0252,109.867
207,0.675493,42.7,0.712,0.9492,110.400
208,0.675493,39.4,0.657,1.0287,110.933
209,0.675493,39.4,0.657,1.0287,111.467
210,0.608853,39.4,0.657,0.9272,112.000
211,0.608853,35.3,0.588,1.0349,112.533
212,0.608853,35.3,0.588,1.0349,113.067
213,0.546917,35.3,0.588,0.9296,113.600
214,0.546917,35.3,0.588,0.9296,114.133
215,0.546917,31.6,0.527,1.0385,114.667
216,0.546917,31.6,0.527,1.0385,115.200
217,0.483727,31.6,0.527,0.9185,115.733
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
